epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,76.614,0.67663,0.97833,1.19473,0.74842,0.72222,0.84,0.53973,1.36198,1.56041,2.4464,0.00035382,0.00035382,0.00035382
78,77.5673,0.71646,0.88187,1.22576,0.85829,0.88889,0.91194,0.53951,1.36917,1.31761,2.34622,0.000339673,0.000339673,0.000339673
79,78.5106,0.67082,0.83948,1.16574,0.82982,0.92536,0.93944,0.54228,1.3308,1.2553,2.26243,0.000325526,0.000325526,0.000325526
80,79.4504,0.66413,0.9505,1.18721,0.84679,0.90211,0.93944,0.54585,1.38015,1.19108,2.30933,0.000311379,0.000311379,0.000311379
81,80.3974,0.57648,0.83597,1.13105,0.85617,0.856,0.93944,0.52409,1.43946,1.13766,2.42399,0.000297232,0.000297232,0.000297232
82,81.3644,0.71452,0.86885,1.20225,0.86731,0.80734,0.93944,0.51205,1.48884,1.30686,2.49234,0.000283085,0.000283085,0.000283085
83,82.309,0.65711,0.88549,1.18523,0.74599,0.90985,0.91167,0.50914,1.45951,1.35313,2.43509,0.000268938,0.000268938,0.000268938
84,83.2403,0.64713,0.86545,1.18426,0.82738,0.86159,0.93944,0.54198,1.38524,1.32664,2.29608,0.000254791,0.000254791,0.000254791
85,84.1803,0.69602,1.08506,1.34011,0.84853,0.901,0.995,0.59333,1.26212,1.30455,2.11516,0.000240644,0.000240644,0.000240644
86,85.1495,0.65032,1.00384,1.15317,0.85123,0.94539,0.995,0.62419,1.24023,1.16968,2.01328,0.000226497,0.000226497,0.000226497
87,86.1124,0.6868,0.89405,1.20144,0.84637,0.95414,0.995,0.63047,1.28167,1.09619,2.09326,0.000212349,0.000212349,0.000212349
88,87.0677,0.67927,0.9831,1.19488,0.84204,0.96082,0.93944,0.61441,1.28917,1.05072,2.14118,0.000198202,0.000198202,0.000198202
89,88.0097,0.64472,0.89342,1.13343,0.84166,0.97809,0.93944,0.62595,1.27766,1.08158,2.16908,0.000184055,0.000184055,0.000184055
90,88.9754,0.62034,0.84455,1.14419,0.85261,0.96541,0.93944,0.59264,1.27158,1.17099,2.21237,0.000169908,0.000169908,0.000169908
91,90.8627,0.51544,0.90027,1.15827,0.76096,0.92938,0.91167,0.61611,1.24171,1.222,2.19423,0.000155761,0.000155761,0.000155761
92,91.8486,0.53944,0.90712,1.22562,0.76267,0.89501,0.91167,0.58366,1.27132,1.17116,2.19162,0.000141614,0.000141614,0.000141614
93,92.8317,0.57526,0.90358,1.1901,0.76143,0.89715,0.91167,0.5947,1.29487,1.18414,2.19504,0.000127467,0.000127467,0.000127467
94,93.9126,0.56901,0.9614,1.19026,0.75999,0.91583,0.91167,0.58103,1.24495,1.27546,2.13338,0.00011332,0.00011332,0.00011332
95,94.9698,0.47316,0.8153,1.06827,0.76032,0.92913,0.91167,0.59177,1.26652,1.28058,2.16785,9.91726e-05,9.91726e-05,9.91726e-05
96,95.9617,0.55545,0.85138,1.16045,0.75764,0.93859,0.91167,0.60654,1.24734,1.27207,2.1648,8.50255e-05,8.50255e-05,8.50255e-05
97,96.9956,0.47003,0.86098,1.11789,0.75668,0.94297,0.91167,0.60654,1.24547,1.25963,2.1944,7.08784e-05,7.08784e-05,7.08784e-05
98,97.9558,0.5077,0.82943,1.17896,0.7566,0.94967,0.91167,0.59555,1.30046,1.32456,2.27759,5.67313e-05,5.67313e-05,5.67313e-05
99,98.9167,0.4547,0.76647,1.10333,0.75706,0.95306,0.91167,0.59839,1.31314,1.3463,2.29626,4.25842e-05,4.25842e-05,4.25842e-05
100,99.8908,0.47922,0.82393,1.11269,0.75796,0.954,0.91167,0.59839,1.32179,1.34456,2.30331,2.84371e-05,2.84371e-05,2.84371e-05
